ticket_id,created_date,created_datetime,store_location,device_category,issue_type,priority,resolution_minutes,repeat_visit_needed,kb_article_existed
TCK-14054,2025-10-01,2025-10-01 20:14,Parramatta,Desktop,Screen / hardware fault,Low,54,True,True
TCK-12997,2025-10-02,2025-10-02 08:55,Parramatta,Desktop,Password reset / login issue,Medium,11,False,True
TCK-10526,2025-10-02,2025-10-02 09:01,Liverpool,Laptop,Software install / update request,Medium,19,False,True
TCK-14802,2025-10-02,2025-10-02 09:11,Liverpool,Laptop,Software install / update request,Low,16,False,True
TCK-11908,2025-10-02,2025-10-02 09:43,Bondi Junction,Laptop,Software install / update request,Medium,22,False,True
TCK-13530,2025-10-02,2025-10-02 10:33,Liverpool,Desktop,Password reset / login issue,Medium,8,False,True
TCK-13215,2025-10-02,2025-10-02 10:49,Chatswood,Laptop,Software install / update request,Low,18,False,True
TCK-12127,2025-10-02,2025-10-02 10:59,Castle Hill,Network Equipment,Wifi / network drop out,Medium,34,True,False
TCK-10444,2025-10-02,2025-10-02 11:19,Castle Hill,Network Equipment,Printer connectivity issue,Medium,29,False,False
TCK-10706,2025-10-02,2025-10-02 12:24,Parramatta,Network Equipment,Wifi / network drop out,Low,24,True,False
TCK-10840,2025-10-02,2025-10-02 12:28,Castle Hill,Desktop,Slow computer / performance issue,High,44,False,True
TCK-12486,2025-10-02,2025-10-02 12:32,Castle Hill,Desktop,Slow computer / performance issue,High,37,False,True
TCK-12814,2025-10-02,2025-10-02 13:00,Parramatta,Register / POS,Register freezing / crashing,High,32,True,False
TCK-11388,2025-10-02,2025-10-02 13:29,Bondi Junction,Network Equipment,Wifi / network drop out,Low,41,True,False
TCK-13761,2025-10-02,2025-10-02 13:49,Parramatta,Laptop,New starter device setup,Medium,44,False,True
TCK-13491,2025-10-02,2025-10-02 13:50,Chatswood,Network Equipment,Printer connectivity issue,Low,25,True,False
TCK-13221,2025-10-02,2025-10-02 13:56,Chatswood,Network Equipment,Wifi / network drop out,Medium,50,True,False
TCK-11524,2025-10-02,2025-10-02 14:41,Liverpool,Register / POS,Register freezing / crashing,Low,34,True,False
TCK-15023,2025-10-02,2025-10-02 14:49,Parramatta,Desktop,Slow computer / performance issue,Low,34,True,True
TCK-14150,2025-10-02,2025-10-02 15:10,Bondi Junction,Laptop,Software install / update request,Medium,16,False,True
TCK-13570,2025-10-02,2025-10-02 15:18,Liverpool,Register / POS,Register freezing / crashing,Medium,34,True,False
TCK-13928,2025-10-02,2025-10-02 15:53,Parramatta,Desktop,Password reset / login issue,Low,18,False,True
TCK-13136,2025-10-02,2025-10-02 16:28,Parramatta,Network Equipment,Printer connectivity issue,High,28,True,False
TCK-10802,2025-10-02,2025-10-02 16:35,Castle Hill,Network Equipment,Printer connectivity issue,Low,37,False,False
TCK-11217,2025-10-02,2025-10-02 16:42,Castle Hill,Network Equipment,Printer connectivity issue,Low,44,True,False
TCK-11485,2025-10-02,2025-10-02 16:56,Liverpool,Register / POS,Payment terminal error,Medium,21,False,True
TCK-10684,2025-10-02,2025-10-02 16:59,Parramatta,Register / POS,Register freezing / crashing,Medium,32,True,False
TCK-13909,2025-10-02,2025-10-02 17:37,Parramatta,Desktop,Email / account access issue,High,18,False,True
TCK-14403,2025-10-02,2025-10-02 17:53,Bondi Junction,Network Equipment,Printer connectivity issue,Low,25,False,False
TCK-11410,2025-10-02,2025-10-02 18:04,Liverpool,Laptop,Software install / update request,Low,23,False,True
TCK-14270,2025-10-02,2025-10-02 19:02,Castle Hill,Desktop,Password reset / login issue,Low,5,True,True
TCK-12316,2025-10-02,2025-10-02 19:06,Liverpool,Register / POS,Payment terminal error,Medium,21,True,True
TCK-11688,2025-10-03,2025-10-03 08:37,Parramatta,Desktop,Slow computer / performance issue,Medium,28,False,True
TCK-10115,2025-10-03,2025-10-03 09:04,Liverpool,Register / POS,Barcode scanner not working,Low,11,False,True
TCK-13122,2025-10-03,2025-10-03 09:07,Bondi Junction,Network Equipment,Wifi / network drop out,Medium,20,True,False
TCK-10881,2025-10-03,2025-10-03 09:16,Castle Hill,Network Equipment,Printer connectivity issue,Medium,33,True,False
TCK-12893,2025-10-03,2025-10-03 10:20,Liverpool,Network Equipment,Wifi / network drop out,Medium,35,True,False
TCK-14127,2025-10-03,2025-10-03 10:26,Bondi Junction,Network Equipment,Wifi / network drop out,Low,34,True,False
TCK-14073,2025-10-03,2025-10-03 11:28,Parramatta,Register / POS,Register freezing / crashing,Low,26,True,False
TCK-10709,2025-10-03,2025-10-03 12:41,Liverpool,Register / POS,Register freezing / crashing,Low,18,True,False
TCK-11034,2025-10-03,2025-10-03 13:12,Chatswood,Network Equipment,Wifi / network drop out,Medium,25,True,False
TCK-14035,2025-10-03,2025-10-03 13:26,Chatswood,Register / POS,Register freezing / crashing,Medium,23,False,False
TCK-13556,2025-10-03,2025-10-03 13:44,Castle Hill,Register / POS,Barcode scanner not working,Low,12,False,True
TCK-10920,2025-10-03,2025-10-03 15:08,Bondi Junction,Register / POS,Payment terminal error,Low,13,True,True
TCK-12479,2025-10-03,2025-10-03 15:08,Castle Hill,Network Equipment,Wifi / network drop out,High,25,False,False
TCK-12784,2025-10-03,2025-10-03 15:24,Liverpool,Register / POS,Barcode scanner not working,High,17,False,True
TCK-10098,2025-10-03,2025-10-03 15:39,Castle Hill,Register / POS,Register freezing / crashing,High,38,True,False
TCK-14176,2025-10-03,2025-10-03 15:41,Chatswood,Laptop,New starter device setup,Low,14,False,True
TCK-12799,2025-10-03,2025-10-03 16:37,Bondi Junction,Desktop,Password reset / login issue,Medium,11,True,True
TCK-11433,2025-10-03,2025-10-03 16:55,Bondi Junction,Register / POS,Barcode scanner not working,Low,11,True,True
TCK-14471,2025-10-03,2025-10-03 17:30,Bondi Junction,Laptop,Software install / update request,High,29,False,True
TCK-14511,2025-10-03,2025-10-03 18:07,Bondi Junction,Laptop,New starter device setup,Medium,33,False,True
TCK-15011,2025-10-03,2025-10-03 18:08,Castle Hill,Network Equipment,Printer connectivity issue,Medium,21,True,False
TCK-11905,2025-10-03,2025-10-03 18:12,Parramatta,Network Equipment,Wifi / network drop out,High,40,True,False
TCK-13176,2025-10-03,2025-10-03 18:32,Bondi Junction,Desktop,Password reset / login issue,Low,14,True,True
TCK-13509,2025-10-03,2025-10-03 18:49,Chatswood,Register / POS,Payment terminal error,Low,22,False,True
TCK-10104,2025-10-03,2025-10-03 18:52,Liverpool,Desktop,Password reset / login issue,Medium,10,True,True
TCK-14789,2025-10-03,2025-10-03 19:00,Castle Hill,Laptop,Software install / update request,Low,26,False,True
TCK-14776,2025-10-03,2025-10-03 19:36,Liverpool,Mobile Device,Mobile device setup,Medium,13,False,True
TCK-11571,2025-10-03,2025-10-03 19:53,Liverpool,Desktop,Password reset / login issue,Medium,7,True,True
TCK-11651,2025-10-03,2025-10-03 19:59,Liverpool,Laptop,Software install / update request,Medium,9,False,True
TCK-14619,2025-10-04,2025-10-04 08:20,Liverpool,Desktop,Slow computer / performance issue,Medium,47,False,True
TCK-10803,2025-10-04,2025-10-04 08:33,Chatswood,Desktop,Password reset / login issue,High,16,False,True
TCK-13843,2025-10-04,2025-10-04 09:19,Liverpool,Laptop,Software install / update request,Medium,24,False,True
TCK-11676,2025-10-04,2025-10-04 09:49,Chatswood,Desktop,Email / account access issue,Low,10,False,True
TCK-10077,2025-10-04,2025-10-04 09:59,Liverpool,Network Equipment,Printer connectivity issue,Medium,28,True,False
TCK-14174,2025-10-04,2025-10-04 10:20,Chatswood,Desktop,Slow computer / performance issue,Low,33,False,True
TCK-12111,2025-10-04,2025-10-04 10:40,Parramatta,Register / POS,Barcode scanner not working,Medium,13,False,True
TCK-13460,2025-10-04,2025-10-04 10:57,Bondi Junction,Desktop,Slow computer / performance issue,Low,21,False,True
TCK-12560,2025-10-04,2025-10-04 11:07,Parramatta,Register / POS,Barcode scanner not working,Low,16,False,True
TCK-11720,2025-10-04,2025-10-04 11:41,Castle Hill,Desktop,Email / account access issue,Medium,8,True,True
TCK-10361,2025-10-04,2025-10-04 12:34,Chatswood,Desktop,Password reset / login issue,Low,15,False,True
TCK-11786,2025-10-04,2025-10-04 13:44,Bondi Junction,Network Equipment,Printer connectivity issue,Medium,41,False,False
TCK-11256,2025-10-04,2025-10-04 13:48,Bondi Junction,Register / POS,Payment terminal error,High,24,False,True
TCK-13470,2025-10-04,2025-10-04 13:52,Liverpool,Desktop,Slow computer / performance issue,High,56,False,True
TCK-10213,2025-10-04,2025-10-04 14:52,Bondi Junction,Register / POS,Register freezing / crashing,Low,35,True,False
TCK-13668,2025-10-04,2025-10-04 15:02,Bondi Junction,Desktop,Screen / hardware fault,Medium,48,True,True
TCK-13315,2025-10-04,2025-10-04 17:06,Parramatta,Register / POS,Barcode scanner not working,Low,17,False,True
TCK-10245,2025-10-04,2025-10-04 17:18,Castle Hill,Laptop,Software install / update request,High,21,False,True
TCK-13370,2025-10-04,2025-10-04 17:53,Castle Hill,Register / POS,Payment terminal error,Low,30,False,True
TCK-11592,2025-10-04,2025-10-04 18:13,Castle Hill,Desktop,Slow computer / performance issue,Low,31,False,True
TCK-12331,2025-10-04,2025-10-04 18:31,Parramatta,Laptop,New starter device setup,High,44,True,True
TCK-10318,2025-10-04,2025-10-04 19:09,Chatswood,Register / POS,Register freezing / crashing,Medium,40,True,False
TCK-10700,2025-10-04,2025-10-04 19:21,Parramatta,Desktop,Password reset / login issue,Medium,14,True,True
TCK-14816,2025-10-04,2025-10-04 19:43,Chatswood,Register / POS,Register freezing / crashing,Low,28,True,False
TCK-13319,2025-10-04,2025-10-04 20:00,Liverpool,Desktop,Password reset / login issue,Medium,6,False,True
TCK-13231,2025-10-04,2025-10-04 20:43,Liverpool,Network Equipment,Printer connectivity issue,Low,26,True,False
TCK-14404,2025-10-05,2025-10-05 08:14,Chatswood,Laptop,Software install / update request,High,18,False,True
TCK-12103,2025-10-05,2025-10-05 08:21,Chatswood,Network Equipment,Wifi / network drop out,Low,48,False,False
TCK-10048,2025-10-05,2025-10-05 09:59,Chatswood,Register / POS,Barcode scanner not working,Medium,11,True,True
TCK-10961,2025-10-05,2025-10-05 09:59,Chatswood,Desktop,Password reset / login issue,Medium,22,True,True
TCK-15117,2025-10-05,2025-10-05 10:05,Liverpool,Register / POS,Payment terminal error,Medium,21,True,True
TCK-15188,2025-10-05,2025-10-05 11:27,Parramatta,Network Equipment,Printer connectivity issue,Low,37,True,False
TCK-11918,2025-10-05,2025-10-05 11:36,Liverpool,Register / POS,Barcode scanner not working,Medium,10,False,True
TCK-14488,2025-10-05,2025-10-05 11:46,Parramatta,Network Equipment,Printer connectivity issue,Medium,26,True,False
TCK-12712,2025-10-05,2025-10-05 12:35,Parramatta,Network Equipment,Printer connectivity issue,Medium,41,False,False
TCK-11798,2025-10-05,2025-10-05 12:55,Castle Hill,Register / POS,Barcode scanner not working,Low,16,False,True
TCK-13471,2025-10-05,2025-10-05 12:57,Bondi Junction,Register / POS,Barcode scanner not working,Low,15,False,True
TCK-14089,2025-10-05,2025-10-05 13:53,Liverpool,Desktop,Password reset / login issue,Medium,10,False,True
TCK-12940,2025-10-05,2025-10-05 14:01,Castle Hill,Mobile Device,Mobile device setup,High,21,False,True
TCK-12577,2025-10-05,2025-10-05 14:36,Liverpool,Desktop,Email / account access issue,Medium,11,False,True
TCK-11421,2025-10-05,2025-10-05 14:43,Bondi Junction,Desktop,Slow computer / performance issue,Medium,43,False,True
TCK-11085,2025-10-05,2025-10-05 14:50,Liverpool,Register / POS,Register freezing / crashing,High,62,False,False
TCK-12126,2025-10-05,2025-10-05 15:05,Parramatta,Register / POS,Register freezing / crashing,Low,40,True,False
TCK-13610,2025-10-05,2025-10-05 15:11,Parramatta,Register / POS,Payment terminal error,Low,21,False,True
TCK-10658,2025-10-05,2025-10-05 15:20,Parramatta,Network Equipment,Printer connectivity issue,Medium,22,True,False
TCK-14849,2025-10-05,2025-10-05 15:23,Castle Hill,Register / POS,Barcode scanner not working,Medium,21,False,True
TCK-11707,2025-10-05,2025-10-05 17:54,Parramatta,Desktop,Password reset / login issue,Medium,11,False,True
TCK-14767,2025-10-05,2025-10-05 17:57,Chatswood,Register / POS,Register freezing / crashing,Low,32,False,False
TCK-12960,2025-10-05,2025-10-05 17:58,Bondi Junction,Desktop,Slow computer / performance issue,Low,40,False,True
TCK-13053,2025-10-05,2025-10-05 18:23,Bondi Junction,Register / POS,Register freezing / crashing,High,41,True,False
TCK-13791,2025-10-06,2025-10-06 08:01,Parramatta,Desktop,Password reset / login issue,Medium,16,False,True
TCK-13990,2025-10-06,2025-10-06 08:47,Chatswood,Register / POS,Barcode scanner not working,Low,16,False,True
TCK-10382,2025-10-06,2025-10-06 08:50,Liverpool,Network Equipment,Wifi / network drop out,Medium,27,True,False
TCK-12639,2025-10-06,2025-10-06 08:56,Parramatta,Desktop,Password reset / login issue,Medium,13,True,True
TCK-11072,2025-10-06,2025-10-06 09:12,Castle Hill,Laptop,New starter device setup,Medium,37,False,True
TCK-12581,2025-10-06,2025-10-06 10:18,Chatswood,Desktop,Password reset / login issue,Medium,10,False,True
TCK-13310,2025-10-06,2025-10-06 12:10,Bondi Junction,Laptop,Software install / update request,High,12,False,True
TCK-14402,2025-10-06,2025-10-06 14:36,Chatswood,Desktop,Slow computer / performance issue,Medium,42,False,True
TCK-12568,2025-10-06,2025-10-06 15:37,Chatswood,Desktop,Email / account access issue,Medium,15,False,True
TCK-13821,2025-10-06,2025-10-06 15:53,Castle Hill,Network Equipment,Wifi / network drop out,Medium,43,True,False
TCK-15168,2025-10-06,2025-10-06 16:32,Liverpool,Network Equipment,Printer connectivity issue,Medium,39,True,False
TCK-14574,2025-10-06,2025-10-06 17:30,Parramatta,Laptop,New starter device setup,Low,23,False,True
TCK-10059,2025-10-06,2025-10-06 17:35,Bondi Junction,Desktop,Email / account access issue,Medium,16,False,True
TCK-11939,2025-10-06,2025-10-06 17:48,Bondi Junction,Register / POS,Barcode scanner not working,Medium,18,True,True
TCK-12823,2025-10-06,2025-10-06 18:08,Castle Hill,Network Equipment,Wifi / network drop out,Medium,30,True,False
TCK-13974,2025-10-06,2025-10-06 19:01,Liverpool,Network Equipment,Wifi / network drop out,Medium,27,False,False
TCK-15031,2025-10-06,2025-10-06 19:33,Chatswood,Desktop,Password reset / login issue,High,10,True,True
TCK-11745,2025-10-06,2025-10-06 20:52,Bondi Junction,Register / POS,Barcode scanner not working,Low,12,True,True
TCK-10157,2025-10-07,2025-10-07 08:15,Parramatta,Register / POS,Register freezing / crashing,High,36,False,False
TCK-10844,2025-10-07,2025-10-07 09:22,Castle Hill,Register / POS,Register freezing / crashing,Medium,39,True,False
TCK-12919,2025-10-07,2025-10-07 09:40,Chatswood,Network Equipment,Printer connectivity issue,Low,25,True,False
TCK-12889,2025-10-07,2025-10-07 10:12,Chatswood,Desktop,Password reset / login issue,High,12,False,True
TCK-11040,2025-10-07,2025-10-07 11:34,Chatswood,Network Equipment,Printer connectivity issue,Medium,42,True,False
TCK-12972,2025-10-07,2025-10-07 11:54,Bondi Junction,Desktop,Password reset / login issue,Low,12,False,True
TCK-14160,2025-10-07,2025-10-07 11:56,Liverpool,Laptop,New starter device setup,Medium,55,True,True
TCK-14290,2025-10-07,2025-10-07 11:56,Bondi Junction,Network Equipment,Printer connectivity issue,Low,20,True,False
TCK-14927,2025-10-07,2025-10-07 12:00,Liverpool,Network Equipment,Wifi / network drop out,High,57,True,False
TCK-12030,2025-10-07,2025-10-07 12:31,Liverpool,Network Equipment,Printer connectivity issue,High,17,True,False
TCK-15187,2025-10-07,2025-10-07 13:31,Bondi Junction,Network Equipment,Wifi / network drop out,Low,20,True,False
TCK-14698,2025-10-07,2025-10-07 15:04,Chatswood,Register / POS,Register freezing / crashing,Low,59,False,False
TCK-14647,2025-10-07,2025-10-07 15:06,Chatswood,Desktop,Screen / hardware fault,Low,35,False,True
TCK-14571,2025-10-07,2025-10-07 15:14,Bondi Junction,Register / POS,Barcode scanner not working,Low,17,False,True
TCK-14770,2025-10-07,2025-10-07 15:20,Liverpool,Desktop,Screen / hardware fault,Medium,67,False,True
TCK-11415,2025-10-07,2025-10-07 15:45,Parramatta,Register / POS,Register freezing / crashing,Medium,40,True,False
TCK-14418,2025-10-07,2025-10-07 15:55,Chatswood,Register / POS,Barcode scanner not working,High,12,True,True
TCK-12697,2025-10-07,2025-10-07 16:20,Chatswood,Desktop,Slow computer / performance issue,Medium,31,False,True
TCK-13713,2025-10-07,2025-10-07 16:28,Chatswood,Register / POS,Barcode scanner not working,Low,24,True,True
TCK-14411,2025-10-07,2025-10-07 16:38,Castle Hill,Register / POS,Barcode scanner not working,Medium,19,False,True
TCK-11405,2025-10-07,2025-10-07 16:52,Bondi Junction,Mobile Device,Mobile device setup,Low,18,False,True
TCK-13161,2025-10-07,2025-10-07 17:15,Chatswood,Desktop,Email / account access issue,Low,11,False,True
TCK-13404,2025-10-07,2025-10-07 17:50,Parramatta,Desktop,Screen / hardware fault,Medium,60,False,True
TCK-10365,2025-10-07,2025-10-07 17:56,Chatswood,Network Equipment,Wifi / network drop out,High,30,False,False
TCK-10426,2025-10-07,2025-10-07 17:59,Liverpool,Network Equipment,Printer connectivity issue,Low,42,True,False
TCK-11226,2025-10-07,2025-10-07 18:31,Parramatta,Network Equipment,Wifi / network drop out,High,38,True,False
TCK-14907,2025-10-07,2025-10-07 18:45,Chatswood,Desktop,Slow computer / performance issue,Medium,40,False,True
TCK-15139,2025-10-07,2025-10-07 18:59,Chatswood,Laptop,New starter device setup,Medium,24,False,True
TCK-12703,2025-10-07,2025-10-07 19:03,Parramatta,Desktop,Slow computer / performance issue,High,29,True,True
TCK-12766,2025-10-07,2025-10-07 19:14,Liverpool,Network Equipment,Wifi / network drop out,Medium,35,False,False
TCK-10000,2025-10-07,2025-10-07 19:17,Castle Hill,Register / POS,Register freezing / crashing,High,44,True,False
TCK-13365,2025-10-07,2025-10-07 19:27,Chatswood,Desktop,Screen / hardware fault,Medium,38,True,True
TCK-12263,2025-10-07,2025-10-07 20:00,Parramatta,Desktop,Password reset / login issue,Low,12,False,True
TCK-11633,2025-10-07,2025-10-07 20:25,Castle Hill,Register / POS,Payment terminal error,Medium,29,False,True
TCK-11929,2025-10-07,2025-10-07 20:30,Liverpool,Network Equipment,Wifi / network drop out,Medium,48,False,False
TCK-12369,2025-10-07,2025-10-07 20:57,Liverpool,Desktop,Password reset / login issue,Low,19,False,True
TCK-10329,2025-10-08,2025-10-08 08:20,Bondi Junction,Mobile Device,Mobile device setup,Medium,11,False,True
TCK-14949,2025-10-08,2025-10-08 08:31,Chatswood,Register / POS,Payment terminal error,Low,23,False,True
TCK-12309,2025-10-08,2025-10-08 09:09,Bondi Junction,Network Equipment,Printer connectivity issue,Low,28,True,False
TCK-10004,2025-10-08,2025-10-08 09:13,Castle Hill,Desktop,Slow computer / performance issue,Low,24,True,True
TCK-12267,2025-10-08,2025-10-08 09:48,Parramatta,Register / POS,Payment terminal error,Medium,7,False,True
TCK-10427,2025-10-08,2025-10-08 10:17,Bondi Junction,Desktop,Password reset / login issue,Low,14,False,True
TCK-14139,2025-10-08,2025-10-08 10:32,Liverpool,Network Equipment,Printer connectivity issue,High,38,True,False
TCK-10567,2025-10-08,2025-10-08 10:54,Parramatta,Desktop,Password reset / login issue,Medium,13,True,True
TCK-10198,2025-10-08,2025-10-08 11:12,Castle Hill,Desktop,Password reset / login issue,Medium,21,True,True
TCK-13391,2025-10-08,2025-10-08 11:18,Bondi Junction,Desktop,Slow computer / performance issue,High,31,False,True
TCK-11995,2025-10-08,2025-10-08 11:27,Bondi Junction,Desktop,Slow computer / performance issue,Medium,20,True,True
TCK-14264,2025-10-08,2025-10-08 11:36,Castle Hill,Register / POS,Payment terminal error,Low,18,True,True
TCK-15060,2025-10-08,2025-10-08 11:42,Chatswood,Register / POS,Payment terminal error,Low,20,True,True
TCK-13963,2025-10-08,2025-10-08 12:17,Parramatta,Desktop,Password reset / login issue,Medium,9,False,True
TCK-15000,2025-10-08,2025-10-08 12:44,Bondi Junction,Network Equipment,Wifi / network drop out,High,56,True,False
TCK-12413,2025-10-08,2025-10-08 12:50,Parramatta,Desktop,Screen / hardware fault,Low,37,False,True
TCK-12874,2025-10-08,2025-10-08 13:08,Liverpool,Desktop,Email / account access issue,Low,16,True,True
TCK-11920,2025-10-08,2025-10-08 13:24,Bondi Junction,Network Equipment,Wifi / network drop out,Low,31,False,False
TCK-12620,2025-10-08,2025-10-08 15:09,Bondi Junction,Desktop,Slow computer / performance issue,Medium,17,True,True
TCK-14442,2025-10-08,2025-10-08 15:13,Parramatta,Register / POS,Register freezing / crashing,High,52,True,False
TCK-12769,2025-10-08,2025-10-08 15:27,Castle Hill,Register / POS,Payment terminal error,Medium,19,True,True
TCK-13611,2025-10-08,2025-10-08 15:42,Bondi Junction,Network Equipment,Wifi / network drop out,Medium,35,True,False
TCK-11951,2025-10-08,2025-10-08 15:57,Parramatta,Desktop,Screen / hardware fault,High,54,False,True
TCK-11809,2025-10-08,2025-10-08 16:17,Chatswood,Desktop,Email / account access issue,Low,13,False,True
TCK-14628,2025-10-08,2025-10-08 17:02,Chatswood,Desktop,Screen / hardware fault,Medium,47,False,True
TCK-14934,2025-10-08,2025-10-08 17:03,Castle Hill,Register / POS,Register freezing / crashing,Low,60,False,False
TCK-10832,2025-10-08,2025-10-08 18:17,Bondi Junction,Desktop,Password reset / login issue,Medium,14,False,True
TCK-14874,2025-10-08,2025-10-08 18:41,Castle Hill,Register / POS,Barcode scanner not working,Medium,8,False,True
TCK-14543,2025-10-08,2025-10-08 19:29,Chatswood,Desktop,Slow computer / performance issue,Low,36,False,True
TCK-11098,2025-10-08,2025-10-08 19:44,Liverpool,Desktop,Screen / hardware fault,Medium,50,False,True
TCK-11823,2025-10-08,2025-10-08 20:20,Parramatta,Network Equipment,Wifi / network drop out,Medium,29,True,False
TCK-13495,2025-10-09,2025-10-09 08:01,Chatswood,Mobile Device,Mobile device setup,Medium,21,False,True
TCK-12080,2025-10-09,2025-10-09 09:04,Castle Hill,Network Equipment,Printer connectivity issue,High,31,True,False
TCK-13528,2025-10-09,2025-10-09 09:21,Liverpool,Register / POS,Register freezing / crashing,Medium,29,True,False
TCK-14122,2025-10-09,2025-10-09 09:33,Bondi Junction,Desktop,Email / account access issue,Low,14,False,True
TCK-11119,2025-10-09,2025-10-09 10:38,Liverpool,Network Equipment,Printer connectivity issue,Medium,24,True,False
TCK-13224,2025-10-09,2025-10-09 10:42,Bondi Junction,Desktop,Screen / hardware fault,Medium,26,False,True
TCK-14775,2025-10-09,2025-10-09 10:55,Liverpool,Desktop,Slow computer / performance issue,Low,30,False,True
TCK-10262,2025-10-09,2025-10-09 11:18,Bondi Junction,Network Equipment,Printer connectivity issue,Medium,45,True,False
TCK-11678,2025-10-09,2025-10-09 11:29,Parramatta,Desktop,Slow computer / performance issue,Medium,31,False,True
TCK-13986,2025-10-09,2025-10-09 12:47,Parramatta,Network Equipment,Wifi / network drop out,High,23,True,False
TCK-12443,2025-10-09,2025-10-09 12:55,Chatswood,Network Equipment,Wifi / network drop out,Medium,20,True,False
TCK-12038,2025-10-09,2025-10-09 13:05,Liverpool,Network Equipment,Printer connectivity issue,Medium,31,True,False
TCK-13898,2025-10-09,2025-10-09 14:01,Parramatta,Register / POS,Barcode scanner not working,Medium,12,False,True
TCK-12777,2025-10-09,2025-10-09 14:20,Castle Hill,Network Equipment,Printer connectivity issue,Medium,34,True,False
TCK-11835,2025-10-09,2025-10-09 14:48,Parramatta,Register / POS,Barcode scanner not working,Low,9,False,True
TCK-14999,2025-10-09,2025-10-09 15:20,Chatswood,Desktop,Screen / hardware fault,Medium,37,False,True
TCK-14390,2025-10-09,2025-10-09 16:55,Chatswood,Desktop,Screen / hardware fault,Low,35,False,True
TCK-11079,2025-10-09,2025-10-09 17:39,Parramatta,Network Equipment,Printer connectivity issue,High,33,True,False
TCK-14229,2025-10-09,2025-10-09 18:54,Chatswood,Register / POS,Barcode scanner not working,High,10,False,True
TCK-12888,2025-10-09,2025-10-09 19:38,Parramatta,Desktop,Screen / hardware fault,Low,38,False,True
TCK-12434,2025-10-09,2025-10-09 19:42,Liverpool,Network Equipment,Wifi / network drop out,Low,40,True,False
TCK-14446,2025-10-09,2025-10-09 19:55,Chatswood,Register / POS,Register freezing / crashing,Low,38,False,False
TCK-10746,2025-10-09,2025-10-09 20:42,Castle Hill,Register / POS,Register freezing / crashing,Low,70,True,False
TCK-12303,2025-10-09,2025-10-09 20:42,Castle Hill,Laptop,New starter device setup,Low,47,False,True
TCK-12356,2025-10-10,2025-10-10 08:11,Chatswood,Desktop,Password reset / login issue,High,16,False,True
TCK-10693,2025-10-10,2025-10-10 08:19,Bondi Junction,Mobile Device,Mobile device setup,Low,20,False,True
TCK-14437,2025-10-10,2025-10-10 08:38,Chatswood,Register / POS,Barcode scanner not working,Medium,17,False,True
TCK-11102,2025-10-10,2025-10-10 09:03,Chatswood,Laptop,Software install / update request,Medium,10,False,True
TCK-11416,2025-10-10,2025-10-10 09:04,Bondi Junction,Laptop,Software install / update request,Low,24,True,True
TCK-11885,2025-10-10,2025-10-10 09:49,Bondi Junction,Desktop,Password reset / login issue,High,11,True,True
TCK-13819,2025-10-10,2025-10-10 11:44,Parramatta,Laptop,New starter device setup,Low,41,False,True
