ticket_id,created_date,month_year,month_sort,store_location,device_category,issue_type,priority,resolution_minutes,repeat_visit_needed,repeat_visit_status,kb_article_existed,kb_article_status,total_minutes_incl_repeat
TCK-10139,2025-10-01,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,Low,9,False,Resolved First Visit,True,Has KB Article,9
TCK-14706,2025-10-01,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Low,26,False,Resolved First Visit,False,No KB Article,26
TCK-10047,2025-10-01,Oct 2025,2025-10,Liverpool,Register / POS,Register freezing / crashing,Medium,46,False,Resolved First Visit,False,No KB Article,46
TCK-13052,2025-10-01,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Medium,31,False,Resolved First Visit,False,No KB Article,31
TCK-10741,2025-10-01,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Low,15,False,Resolved First Visit,True,Has KB Article,15
TCK-14054,2025-10-01,Oct 2025,2025-10,Parramatta,Desktop,Screen / hardware fault,Low,54,True,Repeat Visit,True,Has KB Article,108
TCK-12997,2025-10-02,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Medium,11,False,Resolved First Visit,True,Has KB Article,11
TCK-10526,2025-10-02,Oct 2025,2025-10,Liverpool,Laptop,Software install / update request,Medium,19,False,Resolved First Visit,True,Has KB Article,19
TCK-14802,2025-10-02,Oct 2025,2025-10,Liverpool,Laptop,Software install / update request,Low,16,False,Resolved First Visit,True,Has KB Article,16
TCK-11908,2025-10-02,Oct 2025,2025-10,Bondi Junction,Laptop,Software install / update request,Medium,22,False,Resolved First Visit,True,Has KB Article,22
TCK-13530,2025-10-02,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Medium,8,False,Resolved First Visit,True,Has KB Article,8
TCK-13215,2025-10-02,Oct 2025,2025-10,Chatswood,Laptop,Software install / update request,Low,18,False,Resolved First Visit,True,Has KB Article,18
TCK-12127,2025-10-02,Oct 2025,2025-10,Castle Hill,Network Equipment,Wifi / network drop out,Medium,34,True,Repeat Visit,False,No KB Article,68
TCK-10444,2025-10-02,Oct 2025,2025-10,Castle Hill,Network Equipment,Printer connectivity issue,Medium,29,False,Resolved First Visit,False,No KB Article,29
TCK-10706,2025-10-02,Oct 2025,2025-10,Parramatta,Network Equipment,Wifi / network drop out,Low,24,True,Repeat Visit,False,No KB Article,48
TCK-10840,2025-10-02,Oct 2025,2025-10,Castle Hill,Desktop,Slow computer / performance issue,High,44,False,Resolved First Visit,True,Has KB Article,44
TCK-12486,2025-10-02,Oct 2025,2025-10,Castle Hill,Desktop,Slow computer / performance issue,High,37,False,Resolved First Visit,True,Has KB Article,37
TCK-12814,2025-10-02,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,High,32,True,Repeat Visit,False,No KB Article,64
TCK-11388,2025-10-02,Oct 2025,2025-10,Bondi Junction,Network Equipment,Wifi / network drop out,Low,41,True,Repeat Visit,False,No KB Article,82
TCK-13761,2025-10-02,Oct 2025,2025-10,Parramatta,Laptop,New starter device setup,Medium,44,False,Resolved First Visit,True,Has KB Article,44
TCK-13491,2025-10-02,Oct 2025,2025-10,Chatswood,Network Equipment,Printer connectivity issue,Low,25,True,Repeat Visit,False,No KB Article,50
TCK-13221,2025-10-02,Oct 2025,2025-10,Chatswood,Network Equipment,Wifi / network drop out,Medium,50,True,Repeat Visit,False,No KB Article,100
TCK-11524,2025-10-02,Oct 2025,2025-10,Liverpool,Register / POS,Register freezing / crashing,Low,34,True,Repeat Visit,False,No KB Article,68
TCK-15023,2025-10-02,Oct 2025,2025-10,Parramatta,Desktop,Slow computer / performance issue,Low,34,True,Repeat Visit,True,Has KB Article,68
TCK-14150,2025-10-02,Oct 2025,2025-10,Bondi Junction,Laptop,Software install / update request,Medium,16,False,Resolved First Visit,True,Has KB Article,16
TCK-13570,2025-10-02,Oct 2025,2025-10,Liverpool,Register / POS,Register freezing / crashing,Medium,34,True,Repeat Visit,False,No KB Article,68
TCK-13928,2025-10-02,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Low,18,False,Resolved First Visit,True,Has KB Article,18
TCK-13136,2025-10-02,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,High,28,True,Repeat Visit,False,No KB Article,56
TCK-10802,2025-10-02,Oct 2025,2025-10,Castle Hill,Network Equipment,Printer connectivity issue,Low,37,False,Resolved First Visit,False,No KB Article,37
TCK-11217,2025-10-02,Oct 2025,2025-10,Castle Hill,Network Equipment,Printer connectivity issue,Low,44,True,Repeat Visit,False,No KB Article,88
TCK-11485,2025-10-02,Oct 2025,2025-10,Liverpool,Register / POS,Payment terminal error,Medium,21,False,Resolved First Visit,True,Has KB Article,21
TCK-10684,2025-10-02,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,Medium,32,True,Repeat Visit,False,No KB Article,64
TCK-13909,2025-10-02,Oct 2025,2025-10,Parramatta,Desktop,Email / account access issue,High,18,False,Resolved First Visit,True,Has KB Article,18
TCK-14403,2025-10-02,Oct 2025,2025-10,Bondi Junction,Network Equipment,Printer connectivity issue,Low,25,False,Resolved First Visit,False,No KB Article,25
TCK-11410,2025-10-02,Oct 2025,2025-10,Liverpool,Laptop,Software install / update request,Low,23,False,Resolved First Visit,True,Has KB Article,23
TCK-14270,2025-10-02,Oct 2025,2025-10,Castle Hill,Desktop,Password reset / login issue,Low,5,True,Repeat Visit,True,Has KB Article,10
TCK-12316,2025-10-02,Oct 2025,2025-10,Liverpool,Register / POS,Payment terminal error,Medium,21,True,Repeat Visit,True,Has KB Article,42
TCK-11688,2025-10-03,Oct 2025,2025-10,Parramatta,Desktop,Slow computer / performance issue,Medium,28,False,Resolved First Visit,True,Has KB Article,28
TCK-10115,2025-10-03,Oct 2025,2025-10,Liverpool,Register / POS,Barcode scanner not working,Low,11,False,Resolved First Visit,True,Has KB Article,11
TCK-13122,2025-10-03,Oct 2025,2025-10,Bondi Junction,Network Equipment,Wifi / network drop out,Medium,20,True,Repeat Visit,False,No KB Article,40
TCK-10881,2025-10-03,Oct 2025,2025-10,Castle Hill,Network Equipment,Printer connectivity issue,Medium,33,True,Repeat Visit,False,No KB Article,66
TCK-12893,2025-10-03,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,Medium,35,True,Repeat Visit,False,No KB Article,70
TCK-14127,2025-10-03,Oct 2025,2025-10,Bondi Junction,Network Equipment,Wifi / network drop out,Low,34,True,Repeat Visit,False,No KB Article,68
TCK-14073,2025-10-03,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,Low,26,True,Repeat Visit,False,No KB Article,52
TCK-10709,2025-10-03,Oct 2025,2025-10,Liverpool,Register / POS,Register freezing / crashing,Low,18,True,Repeat Visit,False,No KB Article,36
TCK-11034,2025-10-03,Oct 2025,2025-10,Chatswood,Network Equipment,Wifi / network drop out,Medium,25,True,Repeat Visit,False,No KB Article,50
TCK-14035,2025-10-03,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Medium,23,False,Resolved First Visit,False,No KB Article,23
TCK-13556,2025-10-03,Oct 2025,2025-10,Castle Hill,Register / POS,Barcode scanner not working,Low,12,False,Resolved First Visit,True,Has KB Article,12
TCK-10920,2025-10-03,Oct 2025,2025-10,Bondi Junction,Register / POS,Payment terminal error,Low,13,True,Repeat Visit,True,Has KB Article,26
TCK-12479,2025-10-03,Oct 2025,2025-10,Castle Hill,Network Equipment,Wifi / network drop out,High,25,False,Resolved First Visit,False,No KB Article,25
TCK-12784,2025-10-03,Oct 2025,2025-10,Liverpool,Register / POS,Barcode scanner not working,High,17,False,Resolved First Visit,True,Has KB Article,17
TCK-10098,2025-10-03,Oct 2025,2025-10,Castle Hill,Register / POS,Register freezing / crashing,High,38,True,Repeat Visit,False,No KB Article,76
TCK-14176,2025-10-03,Oct 2025,2025-10,Chatswood,Laptop,New starter device setup,Low,14,False,Resolved First Visit,True,Has KB Article,14
TCK-12799,2025-10-03,Oct 2025,2025-10,Bondi Junction,Desktop,Password reset / login issue,Medium,11,True,Repeat Visit,True,Has KB Article,22
TCK-11433,2025-10-03,Oct 2025,2025-10,Bondi Junction,Register / POS,Barcode scanner not working,Low,11,True,Repeat Visit,True,Has KB Article,22
TCK-14471,2025-10-03,Oct 2025,2025-10,Bondi Junction,Laptop,Software install / update request,High,29,False,Resolved First Visit,True,Has KB Article,29
TCK-14511,2025-10-03,Oct 2025,2025-10,Bondi Junction,Laptop,New starter device setup,Medium,33,False,Resolved First Visit,True,Has KB Article,33
TCK-15011,2025-10-03,Oct 2025,2025-10,Castle Hill,Network Equipment,Printer connectivity issue,Medium,21,True,Repeat Visit,False,No KB Article,42
TCK-11905,2025-10-03,Oct 2025,2025-10,Parramatta,Network Equipment,Wifi / network drop out,High,40,True,Repeat Visit,False,No KB Article,80
TCK-13176,2025-10-03,Oct 2025,2025-10,Bondi Junction,Desktop,Password reset / login issue,Low,14,True,Repeat Visit,True,Has KB Article,28
TCK-13509,2025-10-03,Oct 2025,2025-10,Chatswood,Register / POS,Payment terminal error,Low,22,False,Resolved First Visit,True,Has KB Article,22
TCK-10104,2025-10-03,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Medium,10,True,Repeat Visit,True,Has KB Article,20
TCK-14789,2025-10-03,Oct 2025,2025-10,Castle Hill,Laptop,Software install / update request,Low,26,False,Resolved First Visit,True,Has KB Article,26
TCK-14776,2025-10-03,Oct 2025,2025-10,Liverpool,Mobile Device,Mobile device setup,Medium,13,False,Resolved First Visit,True,Has KB Article,13
TCK-11571,2025-10-03,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Medium,7,True,Repeat Visit,True,Has KB Article,14
TCK-11651,2025-10-03,Oct 2025,2025-10,Liverpool,Laptop,Software install / update request,Medium,9,False,Resolved First Visit,True,Has KB Article,9
TCK-14619,2025-10-04,Oct 2025,2025-10,Liverpool,Desktop,Slow computer / performance issue,Medium,47,False,Resolved First Visit,True,Has KB Article,47
TCK-10803,2025-10-04,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,High,16,False,Resolved First Visit,True,Has KB Article,16
TCK-13843,2025-10-04,Oct 2025,2025-10,Liverpool,Laptop,Software install / update request,Medium,24,False,Resolved First Visit,True,Has KB Article,24
TCK-11676,2025-10-04,Oct 2025,2025-10,Chatswood,Desktop,Email / account access issue,Low,10,False,Resolved First Visit,True,Has KB Article,10
TCK-10077,2025-10-04,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,Medium,28,True,Repeat Visit,False,No KB Article,56
TCK-14174,2025-10-04,Oct 2025,2025-10,Chatswood,Desktop,Slow computer / performance issue,Low,33,False,Resolved First Visit,True,Has KB Article,33
TCK-12111,2025-10-04,Oct 2025,2025-10,Parramatta,Register / POS,Barcode scanner not working,Medium,13,False,Resolved First Visit,True,Has KB Article,13
TCK-13460,2025-10-04,Oct 2025,2025-10,Bondi Junction,Desktop,Slow computer / performance issue,Low,21,False,Resolved First Visit,True,Has KB Article,21
TCK-12560,2025-10-04,Oct 2025,2025-10,Parramatta,Register / POS,Barcode scanner not working,Low,16,False,Resolved First Visit,True,Has KB Article,16
TCK-11720,2025-10-04,Oct 2025,2025-10,Castle Hill,Desktop,Email / account access issue,Medium,8,True,Repeat Visit,True,Has KB Article,16
TCK-10361,2025-10-04,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,Low,15,False,Resolved First Visit,True,Has KB Article,15
TCK-11786,2025-10-04,Oct 2025,2025-10,Bondi Junction,Network Equipment,Printer connectivity issue,Medium,41,False,Resolved First Visit,False,No KB Article,41
TCK-11256,2025-10-04,Oct 2025,2025-10,Bondi Junction,Register / POS,Payment terminal error,High,24,False,Resolved First Visit,True,Has KB Article,24
TCK-13470,2025-10-04,Oct 2025,2025-10,Liverpool,Desktop,Slow computer / performance issue,High,56,False,Resolved First Visit,True,Has KB Article,56
TCK-10213,2025-10-04,Oct 2025,2025-10,Bondi Junction,Register / POS,Register freezing / crashing,Low,35,True,Repeat Visit,False,No KB Article,70
TCK-13668,2025-10-04,Oct 2025,2025-10,Bondi Junction,Desktop,Screen / hardware fault,Medium,48,True,Repeat Visit,True,Has KB Article,96
TCK-13315,2025-10-04,Oct 2025,2025-10,Parramatta,Register / POS,Barcode scanner not working,Low,17,False,Resolved First Visit,True,Has KB Article,17
TCK-10245,2025-10-04,Oct 2025,2025-10,Castle Hill,Laptop,Software install / update request,High,21,False,Resolved First Visit,True,Has KB Article,21
TCK-13370,2025-10-04,Oct 2025,2025-10,Castle Hill,Register / POS,Payment terminal error,Low,30,False,Resolved First Visit,True,Has KB Article,30
TCK-11592,2025-10-04,Oct 2025,2025-10,Castle Hill,Desktop,Slow computer / performance issue,Low,31,False,Resolved First Visit,True,Has KB Article,31
TCK-12331,2025-10-04,Oct 2025,2025-10,Parramatta,Laptop,New starter device setup,High,44,True,Repeat Visit,True,Has KB Article,88
TCK-10318,2025-10-04,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Medium,40,True,Repeat Visit,False,No KB Article,80
TCK-10700,2025-10-04,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Medium,14,True,Repeat Visit,True,Has KB Article,28
TCK-14816,2025-10-04,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Low,28,True,Repeat Visit,False,No KB Article,56
TCK-13319,2025-10-04,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Medium,6,False,Resolved First Visit,True,Has KB Article,6
TCK-13231,2025-10-04,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,Low,26,True,Repeat Visit,False,No KB Article,52
TCK-14404,2025-10-05,Oct 2025,2025-10,Chatswood,Laptop,Software install / update request,High,18,False,Resolved First Visit,True,Has KB Article,18
TCK-12103,2025-10-05,Oct 2025,2025-10,Chatswood,Network Equipment,Wifi / network drop out,Low,48,False,Resolved First Visit,False,No KB Article,48
TCK-10048,2025-10-05,Oct 2025,2025-10,Chatswood,Register / POS,Barcode scanner not working,Medium,11,True,Repeat Visit,True,Has KB Article,22
TCK-10961,2025-10-05,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,Medium,22,True,Repeat Visit,True,Has KB Article,44
TCK-15117,2025-10-05,Oct 2025,2025-10,Liverpool,Register / POS,Payment terminal error,Medium,21,True,Repeat Visit,True,Has KB Article,42
TCK-15188,2025-10-05,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Low,37,True,Repeat Visit,False,No KB Article,74
TCK-11918,2025-10-05,Oct 2025,2025-10,Liverpool,Register / POS,Barcode scanner not working,Medium,10,False,Resolved First Visit,True,Has KB Article,10
TCK-14488,2025-10-05,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Medium,26,True,Repeat Visit,False,No KB Article,52
TCK-12712,2025-10-05,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Medium,41,False,Resolved First Visit,False,No KB Article,41
TCK-11798,2025-10-05,Oct 2025,2025-10,Castle Hill,Register / POS,Barcode scanner not working,Low,16,False,Resolved First Visit,True,Has KB Article,16
TCK-13471,2025-10-05,Oct 2025,2025-10,Bondi Junction,Register / POS,Barcode scanner not working,Low,15,False,Resolved First Visit,True,Has KB Article,15
TCK-14089,2025-10-05,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Medium,10,False,Resolved First Visit,True,Has KB Article,10
TCK-12940,2025-10-05,Oct 2025,2025-10,Castle Hill,Mobile Device,Mobile device setup,High,21,False,Resolved First Visit,True,Has KB Article,21
TCK-12577,2025-10-05,Oct 2025,2025-10,Liverpool,Desktop,Email / account access issue,Medium,11,False,Resolved First Visit,True,Has KB Article,11
TCK-11421,2025-10-05,Oct 2025,2025-10,Bondi Junction,Desktop,Slow computer / performance issue,Medium,43,False,Resolved First Visit,True,Has KB Article,43
TCK-11085,2025-10-05,Oct 2025,2025-10,Liverpool,Register / POS,Register freezing / crashing,High,62,False,Resolved First Visit,False,No KB Article,62
TCK-12126,2025-10-05,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,Low,40,True,Repeat Visit,False,No KB Article,80
TCK-13610,2025-10-05,Oct 2025,2025-10,Parramatta,Register / POS,Payment terminal error,Low,21,False,Resolved First Visit,True,Has KB Article,21
TCK-10658,2025-10-05,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Medium,22,True,Repeat Visit,False,No KB Article,44
TCK-14849,2025-10-05,Oct 2025,2025-10,Castle Hill,Register / POS,Barcode scanner not working,Medium,21,False,Resolved First Visit,True,Has KB Article,21
TCK-11707,2025-10-05,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Medium,11,False,Resolved First Visit,True,Has KB Article,11
TCK-14767,2025-10-05,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Low,32,False,Resolved First Visit,False,No KB Article,32
TCK-12960,2025-10-05,Oct 2025,2025-10,Bondi Junction,Desktop,Slow computer / performance issue,Low,40,False,Resolved First Visit,True,Has KB Article,40
TCK-13053,2025-10-05,Oct 2025,2025-10,Bondi Junction,Register / POS,Register freezing / crashing,High,41,True,Repeat Visit,False,No KB Article,82
TCK-13791,2025-10-06,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Medium,16,False,Resolved First Visit,True,Has KB Article,16
TCK-13990,2025-10-06,Oct 2025,2025-10,Chatswood,Register / POS,Barcode scanner not working,Low,16,False,Resolved First Visit,True,Has KB Article,16
TCK-10382,2025-10-06,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,Medium,27,True,Repeat Visit,False,No KB Article,54
TCK-12639,2025-10-06,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Medium,13,True,Repeat Visit,True,Has KB Article,26
TCK-11072,2025-10-06,Oct 2025,2025-10,Castle Hill,Laptop,New starter device setup,Medium,37,False,Resolved First Visit,True,Has KB Article,37
TCK-12581,2025-10-06,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,Medium,10,False,Resolved First Visit,True,Has KB Article,10
TCK-13310,2025-10-06,Oct 2025,2025-10,Bondi Junction,Laptop,Software install / update request,High,12,False,Resolved First Visit,True,Has KB Article,12
TCK-14402,2025-10-06,Oct 2025,2025-10,Chatswood,Desktop,Slow computer / performance issue,Medium,42,False,Resolved First Visit,True,Has KB Article,42
TCK-12568,2025-10-06,Oct 2025,2025-10,Chatswood,Desktop,Email / account access issue,Medium,15,False,Resolved First Visit,True,Has KB Article,15
TCK-13821,2025-10-06,Oct 2025,2025-10,Castle Hill,Network Equipment,Wifi / network drop out,Medium,43,True,Repeat Visit,False,No KB Article,86
TCK-15168,2025-10-06,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,Medium,39,True,Repeat Visit,False,No KB Article,78
TCK-14574,2025-10-06,Oct 2025,2025-10,Parramatta,Laptop,New starter device setup,Low,23,False,Resolved First Visit,True,Has KB Article,23
TCK-10059,2025-10-06,Oct 2025,2025-10,Bondi Junction,Desktop,Email / account access issue,Medium,16,False,Resolved First Visit,True,Has KB Article,16
TCK-11939,2025-10-06,Oct 2025,2025-10,Bondi Junction,Register / POS,Barcode scanner not working,Medium,18,True,Repeat Visit,True,Has KB Article,36
TCK-12823,2025-10-06,Oct 2025,2025-10,Castle Hill,Network Equipment,Wifi / network drop out,Medium,30,True,Repeat Visit,False,No KB Article,60
TCK-13974,2025-10-06,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,Medium,27,False,Resolved First Visit,False,No KB Article,27
TCK-15031,2025-10-06,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,High,10,True,Repeat Visit,True,Has KB Article,20
TCK-11745,2025-10-06,Oct 2025,2025-10,Bondi Junction,Register / POS,Barcode scanner not working,Low,12,True,Repeat Visit,True,Has KB Article,24
TCK-10157,2025-10-07,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,High,36,False,Resolved First Visit,False,No KB Article,36
TCK-10844,2025-10-07,Oct 2025,2025-10,Castle Hill,Register / POS,Register freezing / crashing,Medium,39,True,Repeat Visit,False,No KB Article,78
TCK-12919,2025-10-07,Oct 2025,2025-10,Chatswood,Network Equipment,Printer connectivity issue,Low,25,True,Repeat Visit,False,No KB Article,50
TCK-12889,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Password reset / login issue,High,12,False,Resolved First Visit,True,Has KB Article,12
TCK-11040,2025-10-07,Oct 2025,2025-10,Chatswood,Network Equipment,Printer connectivity issue,Medium,42,True,Repeat Visit,False,No KB Article,84
TCK-12972,2025-10-07,Oct 2025,2025-10,Bondi Junction,Desktop,Password reset / login issue,Low,12,False,Resolved First Visit,True,Has KB Article,12
TCK-14160,2025-10-07,Oct 2025,2025-10,Liverpool,Laptop,New starter device setup,Medium,55,True,Repeat Visit,True,Has KB Article,110
TCK-14290,2025-10-07,Oct 2025,2025-10,Bondi Junction,Network Equipment,Printer connectivity issue,Low,20,True,Repeat Visit,False,No KB Article,40
TCK-14927,2025-10-07,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,High,57,True,Repeat Visit,False,No KB Article,114
TCK-12030,2025-10-07,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,High,17,True,Repeat Visit,False,No KB Article,34
TCK-15187,2025-10-07,Oct 2025,2025-10,Bondi Junction,Network Equipment,Wifi / network drop out,Low,20,True,Repeat Visit,False,No KB Article,40
TCK-14698,2025-10-07,Oct 2025,2025-10,Chatswood,Register / POS,Register freezing / crashing,Low,59,False,Resolved First Visit,False,No KB Article,59
TCK-14647,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Screen / hardware fault,Low,35,False,Resolved First Visit,True,Has KB Article,35
TCK-14571,2025-10-07,Oct 2025,2025-10,Bondi Junction,Register / POS,Barcode scanner not working,Low,17,False,Resolved First Visit,True,Has KB Article,17
TCK-14770,2025-10-07,Oct 2025,2025-10,Liverpool,Desktop,Screen / hardware fault,Medium,67,False,Resolved First Visit,True,Has KB Article,67
TCK-11415,2025-10-07,Oct 2025,2025-10,Parramatta,Register / POS,Register freezing / crashing,Medium,40,True,Repeat Visit,False,No KB Article,80
TCK-14418,2025-10-07,Oct 2025,2025-10,Chatswood,Register / POS,Barcode scanner not working,High,12,True,Repeat Visit,True,Has KB Article,24
TCK-12697,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Slow computer / performance issue,Medium,31,False,Resolved First Visit,True,Has KB Article,31
TCK-13713,2025-10-07,Oct 2025,2025-10,Chatswood,Register / POS,Barcode scanner not working,Low,24,True,Repeat Visit,True,Has KB Article,48
TCK-14411,2025-10-07,Oct 2025,2025-10,Castle Hill,Register / POS,Barcode scanner not working,Medium,19,False,Resolved First Visit,True,Has KB Article,19
TCK-11405,2025-10-07,Oct 2025,2025-10,Bondi Junction,Mobile Device,Mobile device setup,Low,18,False,Resolved First Visit,True,Has KB Article,18
TCK-13161,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Email / account access issue,Low,11,False,Resolved First Visit,True,Has KB Article,11
TCK-13404,2025-10-07,Oct 2025,2025-10,Parramatta,Desktop,Screen / hardware fault,Medium,60,False,Resolved First Visit,True,Has KB Article,60
TCK-10365,2025-10-07,Oct 2025,2025-10,Chatswood,Network Equipment,Wifi / network drop out,High,30,False,Resolved First Visit,False,No KB Article,30
TCK-10426,2025-10-07,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,Low,42,True,Repeat Visit,False,No KB Article,84
TCK-11226,2025-10-07,Oct 2025,2025-10,Parramatta,Network Equipment,Wifi / network drop out,High,38,True,Repeat Visit,False,No KB Article,76
TCK-14907,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Slow computer / performance issue,Medium,40,False,Resolved First Visit,True,Has KB Article,40
TCK-15139,2025-10-07,Oct 2025,2025-10,Chatswood,Laptop,New starter device setup,Medium,24,False,Resolved First Visit,True,Has KB Article,24
TCK-12703,2025-10-07,Oct 2025,2025-10,Parramatta,Desktop,Slow computer / performance issue,High,29,True,Repeat Visit,True,Has KB Article,58
TCK-12766,2025-10-07,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,Medium,35,False,Resolved First Visit,False,No KB Article,35
TCK-10000,2025-10-07,Oct 2025,2025-10,Castle Hill,Register / POS,Register freezing / crashing,High,44,True,Repeat Visit,False,No KB Article,88
TCK-13365,2025-10-07,Oct 2025,2025-10,Chatswood,Desktop,Screen / hardware fault,Medium,38,True,Repeat Visit,True,Has KB Article,76
TCK-12263,2025-10-07,Oct 2025,2025-10,Parramatta,Desktop,Password reset / login issue,Low,12,False,Resolved First Visit,True,Has KB Article,12
TCK-11633,2025-10-07,Oct 2025,2025-10,Castle Hill,Register / POS,Payment terminal error,Medium,29,False,Resolved First Visit,True,Has KB Article,29
TCK-11929,2025-10-07,Oct 2025,2025-10,Liverpool,Network Equipment,Wifi / network drop out,Medium,48,False,Resolved First Visit,False,No KB Article,48
TCK-12369,2025-10-07,Oct 2025,2025-10,Liverpool,Desktop,Password reset / login issue,Low,19,False,Resolved First Visit,True,Has KB Article,19
TCK-10329,2025-10-08,Oct 2025,2025-10,Bondi Junction,Mobile Device,Mobile device setup,Medium,11,False,Resolved First Visit,True,Has KB Article,11
